id,programa,latitud,longitud,alcaldia
MEX-AIM-AER-AICMT1-M-GW001,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW002,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW003,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW004,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW005,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW006,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW007,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW008,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW009,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW010,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW011,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW012,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW013,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW014,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW015,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW016,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW017,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW018,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW019,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW020,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW021,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW022,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW023,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW024,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW025,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW026,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW027,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW028,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
MEX-AIM-AER-AICMT1-M-GW029,Aeropuerto,19.432707,-99.086743,Venustiano Carranza
